Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
		7/28/2016 1:10:00	0.9057000279	7/28/2016 1:10:00	0
		7/28/2016 1:11:00	0.9057000279	7/28/2016 1:11:00	0
		7/28/2016 1:12:00	0.9057000279	7/28/2016 1:12:00	0
		7/28/2016 1:13:00	0.9057000279	7/28/2016 1:13:00	0
		7/28/2016 1:14:00	0.9057000279	7/28/2016 1:14:00	0
		7/28/2016 1:15:00	0.9057000279	7/28/2016 1:15:00	0
		7/28/2016 1:16:00	0.9057000279	7/28/2016 1:16:00	0
		7/28/2016 1:17:00	0.9057000279	7/28/2016 1:17:00	0
		7/28/2016 1:18:00	0.9057000279	7/28/2016 1:18:00	0
		7/28/2016 1:19:00	0.9057000279	7/28/2016 1:19:00	0
		7/28/2016 1:20:00	0.9057000279	7/28/2016 1:20:00	0
		7/28/2016 1:21:00	0.9057000279	7/28/2016 1:21:00	0
		7/28/2016 1:22:00	0.9057000279	7/28/2016 1:22:00	0
		7/28/2016 1:23:00	0.9057000279	7/28/2016 1:23:00	0
		7/28/2016 1:24:00	0.9057000279	7/28/2016 1:24:00	0
		7/28/2016 1:25:00	0.9057000279	7/28/2016 1:25:00	0
		7/28/2016 1:26:00	0.9057000279	7/28/2016 1:26:00	0
		7/28/2016 1:27:00	0.9057000279	7/28/2016 1:27:00	0
		7/28/2016 1:28:00	0.9057000279	7/28/2016 1:28:00	0
		7/28/2016 1:29:00	0.9057000279	7/28/2016 1:29:00	0
		7/28/2016 1:30:00	0.9057000279	7/28/2016 1:30:00	0
		7/28/2016 1:31:00	0.9057000279	7/28/2016 1:31:00	0
		7/28/2016 1:32:00	0.9057000279	7/28/2016 1:32:00	0
		7/28/2016 1:33:00	0.9057000279	7/28/2016 1:33:00	0
		7/28/2016 1:34:00	0.9057000279	7/28/2016 1:34:00	0
		7/28/2016 1:35:00	0.9057000279	7/28/2016 1:35:00	0
		7/28/2016 1:36:00	0.9057000279	7/28/2016 1:36:00	0
		7/28/2016 1:37:00	0.9057000279	7/28/2016 1:37:00	0
		7/28/2016 1:38:00	0.9057000279	7/28/2016 1:38:00	0
		7/28/2016 1:39:00	0.9057000279	7/28/2016 1:39:00	0
		7/28/2016 1:40:00	0.9057000279	7/28/2016 1:40:00	0
		7/28/2016 1:41:00	0.9057000279	7/28/2016 1:41:00	0
		7/28/2016 1:42:00	0.9057000279	7/28/2016 1:42:00	0
		7/28/2016 1:43:00	0.9057000279	7/28/2016 1:43:00	0
		7/28/2016 1:44:00	0.9057000279	7/28/2016 1:44:00	0
		7/28/2016 1:45:00	0.9057000279	7/28/2016 1:45:00	0
		7/28/2016 1:46:00	0.9057000279	7/28/2016 1:46:00	0
		7/28/2016 1:47:00	0.9057000279	7/28/2016 1:47:00	0
		7/28/2016 1:48:00	0.9057000279	7/28/2016 1:48:00	0
		7/28/2016 1:49:00	0.9057000279	7/28/2016 1:49:00	0
		7/28/2016 1:50:00	0.9057000279	7/28/2016 1:50:00	0
		7/28/2016 1:51:00	0.9057000279	7/28/2016 1:51:00	0
		7/28/2016 1:52:00	0.9057000279	7/28/2016 1:52:00	0
		7/28/2016 1:53:00	0.9057000279	7/28/2016 1:53:00	0
		7/28/2016 1:54:00	0.9057000279	7/28/2016 1:54:00	0
		7/28/2016 1:55:00	0.9057000279	7/28/2016 1:55:00	0
		7/28/2016 1:56:00	0.9057000279	7/28/2016 1:56:00	0
		7/28/2016 1:57:00	0.9057000279	7/28/2016 1:57:00	0
		7/28/2016 1:58:00	0.9057000279	7/28/2016 1:58:00	0
		7/28/2016 1:59:00	0.9057000279	7/28/2016 1:59:00	0
		7/28/2016 2:00:00	0.9057000279	7/28/2016 2:00:00	0
		7/28/2016 2:01:00	0.9057000279	7/28/2016 2:01:00	0
		7/28/2016 2:02:00	0.9057000279	7/28/2016 2:02:00	0
		7/28/2016 2:03:00	0.9057000279	7/28/2016 2:03:00	0
		7/28/2016 2:04:00	0.9057000279	7/28/2016 2:04:00	0
		7/28/2016 2:05:00	0.9057000279	7/28/2016 2:05:00	0
		7/28/2016 2:06:00	0.9057000279	7/28/2016 2:06:00	0
		7/28/2016 2:07:00	0.9057000279	7/28/2016 2:07:00	0
		7/28/2016 2:08:00	0.9057000279	7/28/2016 2:08:00	0
		7/28/2016 2:09:00	0.9057000279	7/28/2016 2:09:00	0
		7/28/2016 2:10:00	0.9057000279	7/28/2016 2:10:00	0
		7/28/2016 2:11:00	0.9057000279	7/28/2016 2:11:00	0
		7/28/2016 2:12:00	0.9057000279	7/28/2016 2:12:00	0
		7/28/2016 2:13:00	0.9057000279	7/28/2016 2:13:00	0
		7/28/2016 2:14:00	0.9057000279	7/28/2016 2:14:00	0
		7/28/2016 2:15:00	0.9057000279	7/28/2016 2:15:00	0
		7/28/2016 2:16:00	0.9057000279	7/28/2016 2:16:00	0
		7/28/2016 2:17:00	0.9057000279	7/28/2016 2:17:00	0
		7/28/2016 2:18:00	0.9057000279	7/28/2016 2:18:00	0
		7/28/2016 2:19:00	0.9057000279	7/28/2016 2:19:00	0
		7/28/2016 2:20:00	0.9057000279	7/28/2016 2:20:00	0
		7/28/2016 2:21:00	0.9057000279	7/28/2016 2:21:00	0
		7/28/2016 2:22:00	0.9057000279	7/28/2016 2:22:00	0
		7/28/2016 2:23:00	0.9057000279	7/28/2016 2:23:00	0
		7/28/2016 2:24:00	0.9057000279	7/28/2016 2:24:00	0
		7/28/2016 2:25:00	0.9057000279	7/28/2016 2:25:00	0
		7/28/2016 2:26:00	0.9057000279	7/28/2016 2:26:00	0
		7/28/2016 2:27:00	0.9057000279	7/28/2016 2:27:00	0
		7/28/2016 2:28:00	0.9057000279	7/28/2016 2:28:00	0
		7/28/2016 2:29:00	0.9057000279	7/28/2016 2:29:00	0
		7/28/2016 2:30:00	0.9057000279	7/28/2016 2:30:00	0
		7/28/2016 2:31:00	0.9057000279	7/28/2016 2:31:00	0
		7/28/2016 2:32:00	0.9057000279	7/28/2016 2:32:00	0
		7/28/2016 2:33:00	0.9057000279	7/28/2016 2:33:00	0
		7/28/2016 2:34:00	0.9057000279	7/28/2016 2:34:00	0
		7/28/2016 2:35:00	0.9057000279	7/28/2016 2:35:00	0
		7/28/2016 2:36:00	0.9057000279	7/28/2016 2:36:00	0
		7/28/2016 2:37:00	0.9057000279	7/28/2016 2:37:00	0
		7/28/2016 2:38:00	0.9057000279	7/28/2016 2:38:00	0
		7/28/2016 2:39:00	0.9057000279	7/28/2016 2:39:00	0
		7/28/2016 2:40:00	0.9057000279	7/28/2016 2:40:00	0
		7/28/2016 2:41:00	0.9057000279	7/28/2016 2:41:00	0
		7/28/2016 2:42:00	0.9057000279	7/28/2016 2:42:00	0
		7/28/2016 2:43:00	0.9057000279	7/28/2016 2:43:00	0
		7/28/2016 2:44:00	0.9057000279	7/28/2016 2:44:00	0
		7/28/2016 2:45:00	0.9057000279	7/28/2016 2:45:00	0
		7/28/2016 2:46:00	0.9057000279	7/28/2016 2:46:00	0
		7/28/2016 2:47:00	0.9057000279	7/28/2016 2:47:00	0
		7/28/2016 2:48:00	0.9057000279	7/28/2016 2:48:00	0
		7/28/2016 2:49:00	0.9057000279	7/28/2016 2:49:00	0
		7/28/2016 2:50:00	0.9057000279	7/28/2016 2:50:00	0
		7/28/2016 2:51:00	0.9057000279	7/28/2016 2:51:00	0
		7/28/2016 2:52:00	0.9057000279	7/28/2016 2:52:00	0
		7/28/2016 2:53:00	0.9057000279	7/28/2016 2:53:00	0
		7/28/2016 2:54:00	0.9057000279	7/28/2016 2:54:00	0
		7/28/2016 2:55:00	0.9057000279	7/28/2016 2:55:00	0
		7/28/2016 2:56:00	0.9057000279	7/28/2016 2:56:00	0
		7/28/2016 2:57:00	0.9057000279	7/28/2016 2:57:00	0
		7/28/2016 2:58:00	0.9057000279	7/28/2016 2:58:00	0
		7/28/2016 2:59:00	0.9057000279	7/28/2016 2:59:00	0
		7/28/2016 3:00:00	0.9057000279	7/28/2016 3:00:00	0
		7/28/2016 3:01:00	0.9057000279	7/28/2016 3:01:00	0
		7/28/2016 3:02:00	0.9057000279	7/28/2016 3:02:00	0
		7/28/2016 3:03:00	0.9057000279	7/28/2016 3:03:00	0
		7/28/2016 3:04:00	0.9057000279	7/28/2016 3:04:00	0
		7/28/2016 3:05:00	0.9057000279	7/28/2016 3:05:00	0
		7/28/2016 3:06:00	0.9057000279	7/28/2016 3:06:00	0
		7/28/2016 3:07:00	0.9057000279	7/28/2016 3:07:00	0
		7/28/2016 3:08:00	0.9057000279	7/28/2016 3:08:00	0
		7/28/2016 3:09:00	0.9057000279	7/28/2016 3:09:00	0
		7/28/2016 3:10:00	0.9057000279	7/28/2016 3:10:00	0
		7/28/2016 3:11:00	0.9057000279	7/28/2016 3:11:00	0
		7/28/2016 3:12:00	0.9057000279	7/28/2016 3:12:00	0
		7/28/2016 3:13:00	0.9057000279	7/28/2016 3:13:00	0
		7/28/2016 3:14:00	0.9057000279	7/28/2016 3:14:00	0
		7/28/2016 3:15:00	0.9057000279	7/28/2016 3:15:00	0
		7/28/2016 3:16:00	0.9057000279	7/28/2016 3:16:00	0
		7/28/2016 3:17:00	0.9057000279	7/28/2016 3:17:00	0
		7/28/2016 3:18:00	0.9057000279	7/28/2016 3:18:00	0
		7/28/2016 3:19:00	0.9057000279	7/28/2016 3:19:00	0
		7/28/2016 3:20:00	0.9057000279	7/28/2016 3:20:00	0
		7/28/2016 3:21:00	0.9057000279	7/28/2016 3:21:00	0
		7/28/2016 3:22:00	0.9057000279	7/28/2016 3:22:00	0
		7/28/2016 3:23:00	0.9057000279	7/28/2016 3:23:00	0
		7/28/2016 3:24:00	0.9057000279	7/28/2016 3:24:00	0
		7/28/2016 3:25:00	0.9057000279	7/28/2016 3:25:00	0
		7/28/2016 3:26:00	0.9057000279	7/28/2016 3:26:00	0
		7/28/2016 3:27:00	0.9057000279	7/28/2016 3:27:00	0
		7/28/2016 3:28:00	0.9057000279	7/28/2016 3:28:00	0
		7/28/2016 3:29:00	0.9057000279	7/28/2016 3:29:00	0
		7/28/2016 3:30:00	0.9057000279	7/28/2016 3:30:00	0
		7/28/2016 3:31:00	0.9057000279	7/28/2016 3:31:00	0
		7/28/2016 3:32:00	0.9057000279	7/28/2016 3:32:00	0
		7/28/2016 3:33:00	0.9057000279	7/28/2016 3:33:00	0
		7/28/2016 3:34:00	0.9057000279	7/28/2016 3:34:00	0
		7/28/2016 3:35:00	0.9057000279	7/28/2016 3:35:00	0
		7/28/2016 3:36:00	0.9057000279	7/28/2016 3:36:00	0
		7/28/2016 3:37:00	0.9057000279	7/28/2016 3:37:00	0
