"","State","mean","sd"
"1","sit",0.426418493285868,0.528663831820493
"2","walk",0.269353134322707,0.256617404080219
"3","run",-0.0205981360985378,0.457706132718797
"4","bike",0.495618175146899,0.443967075722623
"5","max",-0.0276704829120762,0.746822473399203
