VO2	R
2150.6321846928	0.9191607654
1190.2402972886	0.8852316423
1487.5437420413	0.8263433879
2995.0028957856	0.8050189296
3221.8960117101	0.8091099436
2623.5904327675	0.8720285713
2576.0286919505	0.8830723479
2065.3975064366	0.9027036149
2350.0847971739	0.8988466093
2167.7912737246	0.9129416834
2688.6225881149	0.9095162365
2281.7196139403	0.9337385711
2545.767250651	0.9202664241
2175.4552485138	0.9229757299
2303.8842032728	0.9153080459
2245.8364598233	0.926759154
2186.7252690233	0.916540483
2561.6492589408	0.940658368
2049.4124759982	0.9502449396
1952.1921226468	0.8668581884
2449.6393478094	0.8947634117
2562.9001868809	0.9019449893
2436.552744419	0.9187719379
2589.5181347716	0.9225042193
2537.7869868685	0.9542315775
2627.6081005514	0.9535126469
2275.6502691024	0.9804869931
2421.1149811578	0.9614802285
2073.9077482149	0.9179431718
2628.9524100319	0.9385625787
2395.8133963027	0.9420866346
2565.2361836757	0.9440599962
2413.4750321413	0.9478924565
2538.3370083396	0.9366273612
2480.1546633352	0.9433794947
2445.9866710282	0.9477750414
2290.5630916369	0.9437271661
2183.7365204714	0.9500977477
2616.8941070177	0.9414092277
2482.0678168829	0.9472459168
2249.2222432796	0.9377484388
2511.6253765903	0.939124356
2567.2928544899	0.9453896627
2485.7263974725	0.9245523485
2660.2471677717	0.9376255155
2516.5481696527	0.9451499297
2477.0406021823	0.9418723851
2429.8286965232	0.9655334862
2505.8038456487	0.9445356389
2107.8571914088	0.9619443438
2555.742663738	0.9103396847
2682.6596597475	0.9336882189
2561.7174845428	0.9408866102
2437.4530666058	0.947260284
2641.4327295296	0.9526218603
2484.6582074613	0.9560148947
1931.3822577309	0.9742655413
2618.8346654468	0.9395392034
2654.7117004889	0.9325909018
2471.125497957	0.9300725591
2542.2802094575	0.9459269537
2596.2563176359	0.9637871723
2492.9078662677	0.9471453974
2224.4944888619	0.9616055345
1859.9908132269	0.9459728399
2530.8834228951	0.9038607464
2434.0528244234	0.9217878582
2553.2939803739	0.9352028459
2504.9508994381	0.9404051053
2497.643200749	0.9291501948
2616.6477084419	0.9407332866
2531.79318163	0.9543972939
2407.3506540092	0.9445682584
2574.8932721006	0.9261825006
2502.8279236911	0.9212397054
2109.9101621754	0.9515651216
2723.5920812	0.932756858
2656.8081850003	0.9405378401
2558.3039145815	0.9352288904
2663.7417213749	0.9432236164
2428.9527162966	0.9479896521
2463.9213051859	0.9476534575
2578.5979682309	0.9578607602
2410.3796892117	0.9646690372
2520.7964458814	0.9729883074
2028.3873414743	1.0005747407
2469.5247337218	0.9399302593
2362.1994097825	0.9320398054
2580.0667334602	0.9201124085
2487.4945933635	0.9268845246
2428.7565281507	0.9204271236
2499.0079950462	0.9240638725
2732.3947150066	0.9350305987
2402.4850584919	0.9449388981
2585.7541588565	0.9340216093
2427.5534764564	0.9405076135
2061.2872422562	0.9486798893
2379.7804168539	0.9166754237
2483.7119911749	0.9209637965
2497.7650098598	0.9153434418
2372.4337185244	0.9160371253
2788.4163450382	0.9185498368
1789.3277655172	0.942859764
1485.2393719364	0.9139783411
1807.4011312419	0.8705275157
1368.0466316171	0.9280527767
1453.8064413132	0.9213395051
2044.7523456826	0.9281725507
2180.5772268348	0.9381614831
1730.4427364975	0.9480702009
1067.7996483567	0.9479164363
2201.2260118391	0.939739569
1850.014496349	0.9513989572
926.4936339397	0.9577455663
1907.316184131	0.9234807894
1492.6991975452	0.9356561684
1595.1486875295	0.9145212391
1776.6046986161	0.9140655788
1552.9127079868	0.9235767567
1787.4287449608	0.9405276432
1628.5616576767	0.9719022925
1778.4655563071	0.950253536
1649.1508719117	0.973988192
1467.0705423773	0.991925355
1751.0596007637	0.9599627735
1917.9274601943	0.9850328193
1586.2372548173	1.018825245
1527.2448282247	1.0589715506
1540.0525179145	1.0597772055
1344.8740899802	1.0855145506
1462.3214242852	1.076603894
917.0106995572	1.1039858814
1317.9756721992	0.9373159957
1670.5205966356	0.9590365091
1473.1829882874	0.9656511526
1424.1721268432	1.0436677034
1298.8637569307	1.0222344117
1272.0582147792	1.0367200367
1230.1675850649	0.9807037632
1511.4321179392	0.9723080156
1482.5476255325	0.9774592491
1435.6545212762	0.974001318
1593.1545943289	0.9752972687
842.0561479653	0.9929648225
1845.1842593883	0.880605952
1575.4463239913	0.9370208008
1732.9345172179	0.9123254589
1531.1010755948	0.9436908751
1536.8160397554	0.9359755838
1299.8022338902	0.9266697284
1817.1661673668	0.9173017441
1556.6024534606	0.9300503517
1580.0028003743	0.9370003614
1629.7913512674	0.9617878914
1313.8206468894	0.9816520846
1392.8842318969	0.9615443891
1809.9881365341	0.9454035444
1610.5090092968	0.9673743729
1421.636764422	0.981606098
1123.1463116654	0.9903885534
1719.6542418407	0.9570338772
1546.3864877245	0.965839547
1373.5656620355	0.9669462639
1052.9504594765	0.9593076277
1481.8175893068	0.8791265861
1779.8361925983	0.8958287622
1448.2476942416	0.940669164
1437.270969643	0.9465048903
1497.0812797971	0.9561147387
1417.3373099242	0.9767532326
1485.8377976531	0.9665845696
1463.7258756102	0.9810413515
1265.6814490438	0.9687584763
1094.1674653834	0.9558522783
1450.986386656	0.9346888854
1329.2931795397	0.9569273245
1575.7600437588	0.9465483268
1387.3038939896	0.9453915166
1359.4085472023	0.9209596958
1544.9287896374	0.9294025323
1464.7700473621	0.9337010077
1261.1140108509	0.9381275526
1148.4892832579	0.9832380882
1483.5203285	0.9285468079
1355.4782410884	0.9361353212
1577.6620924665	0.9478854763
1255.4528760093	1.0073986335
669.7878010295	0.9318564604
1718.2721683084	0.8394364538
1733.9989649827	0.8473092179
1510.0798679561	0.8738004022
1459.4790092698	0.9050552975
1213.6222851179	0.9218274611
1224.0936830225	0.8955865299
1568.2813525288	0.9046178584
1222.5178341534	0.9306215964
1148.448339529	0.865141946
1616.8906554078	0.8664445342
1412.6560020262	0.8936304808
1178.5061481749	0.9103899127
1351.9456260182	0.8755142591
1230.1417799502	0.8517077509
1392.3330524917	0.8491337191
907.7995247412	0.886752087
1929.2921096429	0.8428314064
1161.6573483324	0.8756968015
1329.0518559147	0.8756624003
1431.7879270758	0.8503770103
1373.4934679628	0.8818268999
1155.7527737144	0.8688245995
1192.6318882628	0.8653179715
1289.9478299042	0.8755864342
1360.6971772903	0.8709271544
1330.9244979456	0.8861648299
