VO2	R
ml/min	---
	
1303.7710876683	0.8371743348
1894.4612707227	0.8383141324
1853.2688736392	0.8391810465
1444.6255810305	0.8572881674
1619.7633081637	0.8416694749
1635.4556416181	0.8494540225
1398.6890988444	0.8908729764
1401.291508998	0.8784323673
1538.321734168	0.7918680184
1748.8796336511	0.8342218599
1646.6060632564	0.8557676062
1884.0717733211	0.8770739065
1931.2945233741	0.8560792759
1783.2175022578	0.8847848387
1808.2175282104	0.8951172217
1332.8262790582	0.8863102695
301.1042589655	0.819503635
1915.4044670447	0.8209270414
2075.2394953761	0.8180527487
2343.131967945	0.8577472023
1780.3624392435	0.9012478794
1442.1568504556	0.8273211005
2101.629284293	0.8261287023
2134.8691163533	0.8539386978
2010.8217529341	0.8511797425
1815.7410816149	0.8858493107
2312.3409727623	0.8918777791
1823.7753104847	0.9430203809
1867.443955183	0.8766428412
2266.0004684195	0.9002292132
2046.0673081632	0.9191601466
2080.4601907252	0.9747881522
2033.3155196279	0.9578716367
1678.5113765747	0.9566147787
2103.634360229	0.9277172405
2115.1429630536	0.9349847453
1773.5707243066	0.9518860387
2406.8062138076	0.9404870002
2002.294548073	0.9912940837
2360.1948665295	0.944429057
2073.8628174739	0.9683729972
2080.802653308	0.9889042323
1970.4688047361	0.9969281501
2213.6846206895	0.9954120646
2127.1636294222	1.0074260077
2139.6706271789	1.0000710732
1944.0596131543	1.0242983417
1909.9845988935	0.9178907926
2364.9984751006	0.9317154137
2364.8689510204	0.9861671213
2240.9869301618	0.9917400348
2262.8433429638	1.0095400181
2081.2862744906	1.0208386992
2207.893778724	0.9991610772
2279.6746541699	1.0203262934
2132.8835234577	1.0266744747
2048.6521629722	0.9947928983
2333.2625834194	1.0165588808
2290.3468422176	1.0009794439
2418.4969780369	1.0184969934
2253.7080606342	1.0266363229
2192.8084027548	1.0313322976
2408.6676771199	1.0279029112
2350.6995648235	1.0411671236
2107.0734069834	1.0403520718
2290.8758834525	1.0368175435
1931.6991915707	1.0204838957
2393.8748618248	1.0374514204
2142.1147764924	1.0177608728
2312.8978584699	1.0114995627
2194.6294152478	1.0291323203
2229.6145271775	1.0413752901
2159.6625603562	1.0233678463
2081.2317171522	1.0418318952
2136.6549698886	1.0077026312
2238.3530266303	0.9875715443
1844.3313656289	1.0137760915
2543.5119907125	0.9580809462
2326.6801077183	0.9630910632
2070.2555816854	1.0282255936
2158.1703067635	0.987185213
2165.6194374063	0.9883245479
2300.272779789	0.9802031578
2279.7945014298	0.9780354376
2055.9129115873	0.9952536728
2290.9577422126	1.0052510067
2145.2016164649	1.0128207126
2260.2208944254	1.0157923124
2166.7736588619	1.0259569247
2323.2834067676	1.0270564804
2177.1281128556	1.0213020447
2169.5657941591	1.0280039874
1958.819200937	1.004538863
2221.2108060209	1.0007838383
2246.694692745	1.0066231361
1984.6792970108	1.0209618447
2197.7246640367	0.9990151134
2236.7726640324	0.9918825119
1499.2093524521	1.0085205947
1968.5332540848	0.8584819253
2782.3353064123	0.8787436592
2661.2126825045	0.9356783162
2312.5323683185	0.9504544098
2207.5581050655	0.9602632631
2190.0249359305	0.9781338088
2279.8721517347	0.9645889524
2282.7213549551	0.9646620338
2428.734173379	0.9592044325
2000.4582632532	0.9740907786
2208.2798660985	0.9531729916
1885.484599276	0.9669175547
2623.5734669198	0.9169415077
2492.7356326882	0.9260311266
2249.3166791026	0.9527541388
2351.5023428578	0.9227435573
2255.1379967354	0.9300089118
2408.1265533817	0.9082224513
2384.8522887517	0.9324204439
2274.7916306693	0.9392821074
