VO2	R
ml/min	---
	
1413.917301684	0.9717486102
1139.9664815591	0.9517394465
1375.6872844524	0.9218951426
1337.0394842638	0.9355247494
1346.8339679493	0.9322511142
1410.4360112688	0.9474769605
1138.2626746156	0.9916990279
1107.9034728004	1.0075145494
822.4119440646	1.0394199322
1251.7285069859	1.0446555354
1484.1847352399	1.0443227002
1286.0253074338	1.0788531452
924.2255927965	1.0381719039
802.6921798105	1.0141711623
1889.4203287216	1.0198085177
1628.2934139065	1.042549225
1384.7624175112	1.0600482213
1165.6492783248	1.0518935697
1635.2597297985	1.0499377089
1074.9161336171	1.0620620163
1159.0557710186	1.1006228893
1135.5624372976	1.015778337
1530.1851655169	1.0429927705
1251.8860581267	1.0744682669
1456.9132201224	1.0548933338
1281.5606218885	1.1023715176
1268.9256266668	1.0415542827
1544.998279464	1.0698099028
1324.2584968784	1.0689142476
1298.739241684	1.1131526339
1381.684569157	1.0599220495
1318.2856066035	1.0497528235
1210.1762839091	1.0751559808
1398.5060026189	1.0237206694
1087.5711598499	0.9989869982
1385.4775509158	0.9578598932
1324.006229767	0.9771605992
1337.9543075897	1.0214442488
1106.4789258557	0.9481850584
1504.2365402035	0.9303387623
1112.5136015932	0.9516469847
1458.3952781307	0.9047486137
1388.0291073742	0.9078838314
1401.012678978	0.9085434793
1490.6906941092	0.9054741809
1333.2459267723	0.9363306109
1450.3154925217	0.910584054
998.8014137407	1.057800219
1276.4277372654	0.9536600191
1775.6118402806	0.9649689089
1406.9338483307	0.9975110937
1174.7666095498	1.0009954108
1402.8104198273	1.0116018671
1605.540143486	1.0057794546
1363.7958675462	1
1300.5392282366	1.0211320323
1085.7278253554	0.988676248
1265.6380776639	0.9783211347
1478.5882333637	0.955786043
1567.8299354303	0.927111935
1526.3254834773	0.9489745029
1410.0955900079	0.9694893645
1623.1000515398	0.9832268529
1302.9198374508	0.9811584051
1283.2032732975	0.951230674
1552.5757193221	0.9716059771
1417.0783001038	0.9658918066
1494.6126194137	0.9862417364
1391.1294602082	0.9624573816
1521.7722170479	0.9863541548
1435.4600981179	0.9517022736
1685.9672162709	0.9694280132
1373.5591382606	1.0460621789
1460.4366182789	0.964990205
1445.8501160215	0.9600579554
1705.6600224528	0.94567355
1599.5885935792	0.9569648698
1402.3590342654	0.9363910571
1766.6170957678	0.9426419921
1614.3812911851	0.9139191427
1531.1808004757	0.9043590516
1231.0879236786	0.9602501622
683.0130563875	0.7837927003
1969.3692658875	0.8190832973
1520.1704190095	0.8447341633
1696.1373619746	0.8977902419
2075.2776519437	0.8930769016
710.005483945	0.9138883411
1976.9651815816	0.8657854695
1617.4089136912	0.9309278992
1755.2293521022	0.9212741998
1653.7442147002	0.9304805445
1325.8223085134	0.9386366973
843.8112331587	0.9456830117
1012.3477963496	0.9750167299
