VO2	R
ml/min	+AC0ALQAt-
	
463.0837183803	0.7837482725
802.3853628232	0.818446733
796.0001952562	0.7739024999
571.2132646005	0.7755171849
724.5016944484	0.7358102108
780.7176056309	0.710237021
839.3883302734	0.7320213843
806.4234801496	0.7346941685
761.8368404725	0.7455239622
789.4105013393	0.7387382064
767.2842147127	0.7461546517
607.807887645	0.77790976
597.5747719366	0.7406769961
719.4691665337	0.7280211366
741.0006278773	0.7417827141
676.9295262711	0.7618010478
609.7739766679	0.7919599016
519.2414433782	0.7782802509
614.0845286067	0.7855483247
512.3190694219	0.7758200305
550.2017552416	0.7783433023
565.0854924425	0.7862580095
582.7540927219	0.8104508197
429.6616831673	0.823749124
462.5326796529	0.8402333795
534.5430270957	0.8327368085
407.3545445644	0.870619304
414.8777921798	0.8554183321
415.7827862739	0.8575940663
400.9513102412	0.8454032956
378.4462863153	0.8667538743
366.1559534247	0.8452184092
414.2197882602	0.8289774483
412.9468657401	0.827983696
394.6110360264	0.8407409773
399.2404900211	0.8196452781
406.1722436149	0.8400835614
456.1730848553	0.8922895796
294.7961943775	0.864395835
327.1925895487	0.8436583822
392.8656486869	0.8502396225
405.2053294923	0.8453997833
433.1405464018	0.8378058921
373.7703946417	0.860194859
413.3152372775	0.8504865751
339.1477692482	0.8529323973
336.4245254955	0.8378233054
434.5724349233	0.858172243
400.6142415435	0.8582626031
294.6176977587	0.8484295058
359.406915172	0.8479850927
326.4574228209	0.8346871659
397.9879008358	0.8562496634
373.9227919009	0.8790645806
378.7792520018	0.8655169193
202.7006112012	0.8356816643
343.0918610941	0.8260333305
252.534437886	0.8494854009
385.4371319388	0.839851788
577.6026102892	0.8188437101
265.3629130925	0.8185833736
636.4018725834	0.7863506249
946.248817584	0.816617698
1567.9973839566	0.7815375635
704.4872674574	0.7922581618
561.2203458301	0.8195430297
544.8665429389	0.8265102708
549.4050125737	0.8084569575
706.3056612957	0.8346773213
657.7510184263	0.841465602
830.9262650588	0.89036534
592.616160797	0.8661930325
675.1963429561	0.8496210076
860.8570835449	0.783612298
959.3898911071	0.7678107934
881.3860027532	0.8161793077
594.5637327404	0.801711423
615.9119791697	0.8212845647
613.4574295799	0.8221612541
522.4393790964	0.8433972891
562.2000641756	0.8503833721
505.3321862776	0.8598782077
418.7368096796	0.8826268567
504.3850980658	0.8720415839
454.0461776806	0.8666253749
390.2185080441	0.8671425963
401.208000957	0.8457395525
404.7925417892	0.8591671012
435.2729536738	0.8393565231
399.9333016963	0.8316736509
487.5254573869	0.8540591002
333.729967647	0.8318908605
436.3225634316	0.833947647
463.2496576466	0.8365722148
319.6566705881	0.8267976348
586.326163149	0.826584928
373.093890848	0.8092729476
289.4448395276	0.8087388973
430.7531186339	0.7907902437
475.6242148088	0.8006657763
460.1409203836	0.824915333
486.2272790319	0.9030472869
200.5162855045	0.8386106482
269.0355716562	0.8155012837
330.5760932273	0.8027145023
372.1621508636	0.7880482779
439.3725518843	0.7855060358
442.8791810446	0.7830503047
444.6606628211	0.8035447827
407.6110328716	0.8223101034
359.8227355441	0.8197951539
339.8694599814	0.7976811578
419.5000386204	0.7956974664
385.2716095696	0.8051054436
435.025372368	0.8036663419
382.8833485739	0.844444792
299.5912709101	0.8109496238
330.7780201228	0.804184691
294.3896943239	0.7880870517
336.1668064724	0.7974774718
422.9108584479	0.8008724154
393.7617970761	0.7947206626
376.8580951869	0.8212691306
494.3106385056	0.8064694101
411.1294754509	0.836198525
309.4047205637	0.8323912137
358.8554382979	0.8431488805
401.5076677621	0.8183255069
286.4790384939	0.8256860738
306.1513431351	0.7966559719
358.4621110322	0.8015907099
446.9819888075	0.7872177984
345.4131584422	0.7786471132
442.9805412548	0.7867621265
403.3604814409	0.7879268024
506.7505895435	0.8431424993
461.5873058397	0.8061142776
331.7044042635	0.8111877395
583.6249127055	0.7637495345
739.8181363298	0.7652716502
388.8649950495	0.7043138418
781.1128757773	0.7023480067
958.1193596444	0.7261744607
853.5367810708	0.7337824235
877.526455828	0.7249394182
950.6127157969	0.7453534565
844.5810174151	0.7396200109
865.7284050615	0.7773475884
598.8230330818	0.7619958349
604.0757235737	0.7754820944
851.322131449	0.7886381439
778.7542374272	0.7965204048
783.1956529827	0.8046915834
776.8733408871	0.8107164109
606.9759777329	0.8246151871
732.5455467023	0.8222052042
847.0623648179	0.7868544331
867.8895955545	0.795346388
732.5655853519	0.8537880093
369.1197561961	0.791900688
533.1496533901	0.7648702488
391.2965529273	0.7371374504
468.5119664128	0.7229779866
499.70691424	0.7294843987
522.5028870836	0.7353223395
350.5219838143	0.7268507872
392.6177390149	0.7193332226
574.9645790249	0.7083551322
444.3580269735	0.7382645962
425.5264667522	0.7419798744
411.2453695385	0.748803356
387.3833728162	0.7548386833
391.4619278351	0.7585723574
341.2369393251	0.7470977897
432.3277912138	0.750303797
371.5524472209	0.7649794535
391.4922711365	0.7573368291
445.8419025371	0.7729936463
404.2203908481	0.7815932446
408.3481283926	0.7919934493
263.7496007966	0.8017071674
332.7623398459	0.8018882526
402.8764690183	0.7933825634
367.5316269097	0.7938922596
379.857977627	0.8084432744
349.7002710855	0.8107869641
459.6122156255	0.8094328194
396.2208402872	0.831485103
