Apple	0.627	0.414	0.434	0.284	0.108	0.166	0.199	0.296	0.282	0.139	0.914	0.107	0.471	0.528	0.079	0.329	0.983	0.296	0.504	1.024	0.341	0.336	0.68	0.505	0.422	0.966	0.351	0.662	0.312	0.397	0.096	0.436	0.483	0.076	0.677	0.561	0.62	0.433	0.514	0.555	0.412	0.379	0.357	0.525	0.162	0	0.32	0.497	0.514	0.946	0.001	0.083	0.585	0.044	0.468	0.985	0.251	0.559	0.917	0.343	0.356	0.06	0.435	0.494	0.948	0.411	0.748	0.353	0.056	0.13	0.082	0.34	0.167	0.526	0.53	0.144	0.565	0.361	4
Basis	0.517	0.863	0.229	0.655	0.73	0.3	0.194	0.8	0.656	0.533	0.698	0.767	0.238	0.754	0.692	0.579	0.841	0.812	0.677	0.705	0.49	0.862	0.732	0.514	0.213	0.095	0.843	0.833	0.111	1.424	0.079	0.647	0.849	0.745	0.737	0.656	2.577	0.727	0.481	0.188	0.863	0.213	0.258	0.849	0.385	0.077	0.878	0.851	0.833	0.714	0.198	0.113	0.814	0.074	0.071	0.83	0.452	0.196	0.714	0.342	0.917	0.24	0.131	0.145	0.151	0.523	0.289	0.011	0.485	0.039	0.419	0.544	0.844	0.795	0.013	0.567	0.821	0.39	4
Fitbit	0.125	0.565	0.067	0.27	0.677	0.259	0.152	0.833	0.514	0.441	0.006	0.526	0.884	0.19	0.485	0.73	0.254	0.797	0.5	0.35	0.037	0.423	0.383	0.625	0.172	0.253	0.807	0.224	0.39	0.48	0.112	0.61	0.548	0.131	1.332	0.155	1.413	0.747	0.579	0.127	0.475	0.132	0.04	0.464	0.457	0.032	0.36	0.592	0.814	0.079	0.043	0.264	0.361	0.08	0.226	0.029	0.082	0.184	0.306	0.08	0.344	0.027	0.317	0.172	0.089	0.706	0.204	0.189	0.27	0.021	0.452	0.329	0.863	0.012	0.001	0.872	0.192	0.163	4
Microsoft	1	0.314	0.354	1.069	1	1	0.2	1	1	0.07	1	0.905	0.5	0.667	0.737	0.634	0.855	0.538	1.045	0.373	0.655	1	0.429	0.064	0.189	0.759	0.167	0.167	1.121	0.579	1	0.767	0.961	0.474	1	2.077	0.273	0.111	0.014	0.118	0.204	0.364	0.677	0.442	0.217	0.787	0.762	0.524	0.167	0.014	0.061	0.109	0.071	0.1	0.048	0.216	0.964	0.233	0.146	0.167	0.065	0.036	0.047	0.385	0.211	0.043	0.471	0.456	0.032	0.515	0.222	0.644	0.139	0.94	0.103	0.707	4
PulseOn	1	1	1	0.959	1	1	1	1	1	1	1	1	1	0.761	0.951	0.081	1	1	0.707	1	1	1	1	1	1	1	1	1	0.777	0.921	1	1	1	1	1	1	1	1	1	1	1	1	0.855	1	1	0.961	1	1	1	1	0.932	1	1	1	1	1	1	0.527	4
