Apple	4	4	4	4	4	4	4	4	4	0.012	0.006	0.02	0.006	0.007	0	0.133	4	4	0.167	4	0.012	0.017	0.019	0.106	0.014	0.001	0.006	0.017	4	0.019	4	4	4	0.027	0.004	4	0.008	0.011	0.001	0.048	0.007	0.067	0.01	0.004	0.007	4	0.019	0.039	4	0.138	4	0.051	4	4	4	4	4	4	4	4	4	4	0.012	0.004	0.001	0.003	0.01	0.005	0.011	0.005	4	4	0.01	4	0.02	0.029	0	0.031	0.005	0.01	0.01	0.021	0.058	0.004	0.014	0.006	0.022	4	0.008	4	4	4	0.015	0.007	4	0.055	0.035	0.002	0.003	0.006	0.009	0.007	0.012	0.004	4	0.014	0.011	4	0.017	4	0.015	4
Basis	4	4	4	4	4	4	4	4	4	0.01	0	0.009	0.012	0.007	0.009	0.077	4	4	0.167	4	0	0.009	0.019	0.167	0	0.034	0.017	4	4	0.019	4	4	4	0.042	0.027	0.029	0.019	0	0	0.044	0.022	0.057	0.01	0.178	0.083	4	0	0	4	0.021	4	0.061	4	4	4	4	4	4	4	4	4	4	0.008	0	0.007	0.007	0.052	0	0.007	0.182	4	4	0.01	4	0.02	0	0.007	0.008	0.009	0	0.007	0.043	0.155	0.021	0.006	0.02	4	4	0	4	4	4	0.026	0.022	0.057	0.022	0.052	0	0.026	0.032	0.009	0.047	0.464	0.009	4	0.007	0.005	4	0.008	4	0.033	4
Fitbit	4	4	4	4	4	4	4	4	4	0	0.023	0.009	0.081	0	0.009	0.115	4	4	0.088	4	0.049	0.017	0	0.178	0.157	0.02	0.008	0.037	4	0.019	4	4	4	0.017	0.044	0.022	0.009	0.009	0.007	0.009	0	0.019	0.01	0.163	0.101	4	0.01	0.008	4	0.043	4	0.041	4	4	4	4	4	4	4	4	4	4	0.008	0	0	0.007	0.01	0.013	0.028	0.036	4	4	0.048	4	0.119	0.031	0.007	0	0.009	0.008	0.007	0.017	0.009	0	0.006	0.007	0.016	4	0.008	4	4	4	0.026	0	0.019	0.052	0.037	0.006	0.006	0	0.009	0.019	0.518	0.009	4	0.007	0.029	4	0	4	0	4
Microsoft	4	4	4	4	4	4	4	4	4	0.178	0.144	0.009	0	4	0.027	0.048	4	4	0.127	4	0.012	0.017	0.029	0.144	0.009	0.007	0.008	0.083	4	0.047	4	4	4	0.017	0.018	0.022	0.009	0	0.043	0.009	0.052	0.057	0	0.008	0.092	4	0.048	0.039	4	0.053	4	0.041	4	4	4	4	4	4	4	4	4	4	0	0.102	0.015	0.007	0.031	4	0.049	0.051	4	4	0.01	4	0	0.01	0.022	0	0.028	0.063	0	0.009	0	0	0.006	0.007	0	4	0	4	4	4	0.013	0.014	0.032	0.037	0.007	0.038	0.006	0.032	0	0.084	0.012	0.018	4	0.022	0.016	4	0	4	0	4
PulseOn	4	0.127	0.003	0.005	0.017	0.006	0.026	0.006	4	0.001	4	4	0.054	4	0.018	4	0.03	0.012	4	0.194	4	4	0.188	4	4	0.02	0.002	4	0.047	4	0.035	0.017	4	4	4	4	4	0.025	0.005	4	4	0.003	4	4	0.1	0.006	0.006	4	0.005	4	0.008	0.209	4	4	0.013	0.043	0.002	0.005	0.005	0.04	0.006	4	0.009	0.003	4	4	0.034	4	0.003	4	0.414	0.001	4	0.063	4	4	4	4	0.002	4	4	0.005	4	4	0.581	0.014	4	0	4	0.002	0.018	4	4	4	4	4	0.003	0.005	4	4	0.03	4	4	0.005	0.007	0.004	4	0.006	4	0.013	0.05	4
Mio	4	4	0.096	4	4	0.013	4	0	0.058	4	4	4	4	4	0.025	4	0	4	4	4	4	0.008	0.306	4	4	4	0.016	0.038	0.059	0.071	0.049	0.009	4	4	4	4	4	0.031	0.091	4	4	0.009	4	4	0.034	0.261	0.009	4	0.055	4	4	0.215	0.393	0.018	0.112	0.011	0.031	4	0.026	4	0.016	0.025	4	4	4	4	0.204	4	0.008	4	4	4	4	4	4	4	4	0.033	4	4	4	4	4	4	4	0.037	0.039	4	0.022	0.019	4	4	4	4	4	4	0.396	0.019	4	4	0	4	4	0.01	0.152	4	4	4	4	0.026	0.339	0.465
Samsung	0.331	0.276	0.053	0.025	0.019	0.044	0.039	0.063	0.069	0.058	4	4	0.114	4	0.029	4	4	0.032	4	0.046	4	0.03	0.056	4	4	0.038	0.063	0.186	0.118	0.287	0.019	0.017	0.038	4	4	4	4	0.001	0.161	4	4	0.101	4	4	0.151	0.233	0.082	4	0.163	4	0.006	0.104	0.001	0.349	0.388	0.029	0.012	0.411	0.007	0.468	0.165	0.025	0.039	0.25	4	4	0.191	4	0.021	4	4	0.003	4	0.041	4	4	4	0.048	0.024	4	4	0.016	4	4	0.022	0.675	0.077	0.017	0.413	0.017	0.029	0.012	4	4	4	4	0.009	0.012	4	4	0.014	4	4	0.03	0.089	0.019	4	0.101	4	0.368	0.401	0.396
