Watch	age			BMI			fitzpatrick			v02max			vonluschan			wrist			age			BMI			fitzpatrick			v02max			vonluschan			wrist		
statistic	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate
Basis_Energy	1.032	0.304	0.078	4.459	0.0	0.322	0.882	0.379	0.067	5.412	0.0	0.381	1.255	0.211	0.095	7.179	0.0	0.48	1.032	0.304	0.078	4.459	0.0	0.322	0.882	0.379	0.067	5.412	0.0	0.381	1.255	0.211	0.095	7.179	0.0	0.48
Microsoft_Energy	0.803	0.423	0.062	1.413	0.16	0.108	-1.058	0.291	-0.081	3.723	0.0	0.275	-1.178	0.24	-0.09	2.338	0.021	0.177	0.803	0.423	0.062	1.413	0.16	0.108	-1.058	0.291	-0.081	3.723	0.0	0.275	-1.178	0.24	-0.09	2.338	0.021	0.177
PulseOn_Energy	-0.152	0.879	-0.013	2.653	0.009	0.227	0.389	0.698	0.034	-0.679	0.498	-0.06	0.27	0.788	0.024	2.887	0.005	0.246	-0.152	0.879	-0.013	2.653	0.009	0.227	0.389	0.698	0.034	-0.679	0.498	-0.06	0.27	0.788	0.024	2.887	0.005	0.246
Apple_Energy	0.449	0.654	0.034	0.842	0.401	0.064	0.34	0.734	0.026	2.911	0.004	0.217	-0.011	0.991	-0.001	2.24	0.026	0.168	0.449	0.654	0.034	0.842	0.401	0.064	0.34	0.734	0.026	2.911	0.004	0.217	-0.011	0.991	-0.001	2.24	0.026	0.168
Fitbit_Energy	0.247	0.805	0.019	2.572	0.011	0.194	0.288	0.774	0.022	1.529	0.128	0.116	0.787	0.432	0.06	2.199	0.029	0.166	0.247	0.805	0.019	2.572	0.011	0.194	0.288	0.774	0.022	1.529	0.128	0.116	0.787	0.432	0.06	2.199	0.029	0.166
device_mean	0.425	0.671	0.024	3.705	0.0	0.208	0.388	0.698	0.022	1.318	0.188	0.075	0.456	0.649	0.026	4.249	0.0	0.236	0.425	0.671	0.024	3.705	0.0	0.208	0.388	0.698	0.022	1.318	0.188	0.075	0.456	0.649	0.026	4.249	0.0	0.236
